"title","category","location","description","keywords","start_date","start_time","end_date","end_time","alarm","recur_type","recur_end_date","recur_interval","recur_data"
"WH-Pr MACS","StundenplanTW","WEBINAR24","Stundenplan
WH-Pr MACS
teschl
ic-2D2
WEBINAR24","Stundenplan","16.02.2021","15:15:00","16.02.2021","17:40:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","16.02.2021","17:50:00","16.02.2021","19:20:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","17.02.2021","17:50:00","17.02.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","22.02.2021","17:50:00","22.02.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","22.02.2021","19:30:00","22.02.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","23.02.2021","17:50:00","23.02.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","23.02.2021","19:30:00","23.02.2021","21:00:00",,,,,
"ENG2-UE","StundenplanTW","WEBINAR54","Stundenplan
ENG2
MitterUt
BIC-2D 
WEBINAR54","Stundenplan","24.02.2021","17:50:00","24.02.2021","21:00:00",,,,,
"KREKO-UE","StundenplanTW","WEBINAR54","Stundenplan
KREKO
DurstbJu
BIC-2D 
WEBINAR54","Stundenplan","27.02.2021","08:45:00","27.02.2021","12:05:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","01.03.2021","17:50:00","01.03.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","01.03.2021","19:30:00","01.03.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","02.03.2021","17:50:00","02.03.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","02.03.2021","19:30:00","02.03.2021","21:00:00",,,,,
"RepEx ENG1","StundenplanTW","WEBINAR01","Stundenplan
RepEx ENG1
adams
ic-2
WEBINAR01","Stundenplan","03.03.2021","16:10:00","03.03.2021","17:40:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","03.03.2021","17:50:00","03.03.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","08.03.2021","17:50:00","08.03.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","08.03.2021","19:30:00","08.03.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","09.03.2021","17:50:00","09.03.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","09.03.2021","19:30:00","09.03.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","10.03.2021","17:50:00","10.03.2021","21:00:00",,,,,
"TK-ILV","StundenplanTW","WEBINAR54","Stundenplan
TK
KopicaFr
BIC-2D2
WEBINAR54","Stundenplan","15.03.2021","17:50:00","15.03.2021","19:20:00",,,,,
"PROLB-LAB","StundenplanTW","WEBINAR54","Stundenplan
PROLB
HolzerMa
BIC-2D 
WEBINAR54","Stundenplan","15.03.2021","19:30:00","15.03.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","16.03.2021","17:50:00","16.03.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","16.03.2021","19:30:00","16.03.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","17.03.2021","17:50:00","17.03.2021","21:00:00",,,,,
"KREKO-UE","StundenplanTW","WEBINAR54","Stundenplan
KREKO
DurstbJu
BIC-2D 
WEBINAR54","Stundenplan","20.03.2021","08:45:00","20.03.2021","12:05:00",,,,,
"OOP-ILV","StundenplanTW","WEBINAR54","Stundenplan
OOP
PezeroEd
BIC-2D2
WEBINAR54","Stundenplan","22.03.2021","17:50:00","22.03.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR12","Stundenplan
MACS2
RieplMa
BIC-2D2
WEBINAR12","Stundenplan","23.03.2021","17:50:00","23.03.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","23.03.2021","19:30:00","23.03.2021","21:00:00",,,,,
"ENG2-UE","StundenplanTW","WEBINAR54","Stundenplan
ENG2
MitterUt
BIC-2D 
WEBINAR54","Stundenplan","24.03.2021","17:50:00","24.03.2021","21:00:00",,,,,
"MACS2-ILV","StundenplanTW","WEBINAR54","Stundenplan
MACS2
TeschlSu
BIC-2D2
WEBINAR54","Stundenplan","06.04.2021","17:50:00","06.04.2021","19:20:00",,,,,
"SE-ILV","StundenplanTW","WEBINAR54","Stundenplan
SE
MoosbrPa
BIC-2D2
WEBINAR54","Stundenplan","06.04.2021","19:30:00","06.04.2021","21:00:00",,,,,
"SYSP-LAB","StundenplanTW","WEBINAR54","Stundenplan
SYSP
TrausmRo
BIC-2D 
WEBINAR54","Stundenplan","07.04.2021","17:50:00","07.04.2021","21:00:00",,,,,
"KREKO-UE","StundenplanTW","WEBINAR54","Stundenplan
KREKO
DurstbJu
BIC-2D 
WEBINAR54","Stundenplan","10.04.2021","08:45:00","10.04.2021","12:05:00",,,,,
